last_name, first_name,year,player_age,b_ab,b_total_pa,isolated_power,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent,z_swing_percent,oz_swing_percent,meatball_swing_percent,pull_percent,opposite_percent,
Freeman, Freddie,2018,29,618,707,.196,.235,89.1,14.5,9.3,39.8,82.7,31.1,91.8,39.0,25.8,
Grandal, Yasmani,2018,30,440,518,.225,.220,88.9,14.0,11.9,40.4,57.5,19.8,67.1,42.6,19.1,
LeMahieu, DJ,2018,30,533,581,.152,.140,91.1,5.7,5.2,43.0,59.2,23.2,64.1,25.0,28.7,
Moustakas, Mike,2018,30,573,635,.208,.200,89.3,19.6,8.8,39.1,72.5,33.9,83.3,39.1,23.3,
Rizzo, Anthony,2018,29,566,665,.187,.175,89.9,14.4,6.5,40.5,67.7,29.4,73.3,41.8,20.4,
Stanton, Giancarlo,2018,29,617,705,.243,.224,93.7,11.6,15.1,50.5,66.4,28.7,72.8,35.1,24.8,
Galvis, Freddy,2018,29,602,656,.133,.120,87.5,13.2,3.9,28.5,67.4,34.8,72.2,35.3,24.2,
Perez, Salvador,2018,28,510,544,.204,.218,91.2,18.0,10.8,47.5,73.0,44.2,75.2,44.2,19.4,
Inciarte, Ender,2018,28,597,660,.116,.081,83.6,10.0,1.5,18.7,68.9,30.0,76.8,36.8,24.9,
Ozuna, Marcell,2018,28,582,628,.153,.206,91.5,10.8,9.7,44.9,72.2,27.7,83.5,38.0,21.6,
Villar, Jonathan,2018,27,466,515,.124,.123,87.2,2.7,5.1,36.0,71.5,26.9,81.9,33.2,26.0,
Aguilar, Jesus,2018,28,492,566,.264,.236,89.8,16.2,11.4,42.6,59.6,33.9,67.5,39.3,24.0,
Crawford, Brandon,2018,31,531,594,.139,.122,87.3,11.1,3.6,33.1,75.7,29.8,88.4,33.1,31.6,
Cron, C.J.,2018,28,501,560,.240,.231,88.0,15.2,12.2,36.6,69.6,34.9,77.6,43.5,20.8,
Hicks, Aaron,2018,29,480,581,.219,.197,88.9,12.5,8.8,43.0,64.6,18.0,79.9,38.7,17.8,
Hosmer, Eric,2018,29,613,677,.145,.136,88.8,-1.2,6.4,38.2,70.6,29.2,84.2,28.8,31.4,
Kipnis, Jason,2018,31,530,601,.158,.154,86.1,17.0,6.6,31.3,61.0,25.6,69.4,36.7,25.1,
Rendon, Anthony,2018,28,529,597,.227,.238,90.6,17.7,10.3,44.6,69.4,23.8,79.6,36.7,27.3,
